Kanton;Gemeindename;E;N
FR;Misery-Courtion;2571819.916;1188981.999
VD;Faoug;2572125.117;1194772.185
FR;Pont-en-Ogoz;2572179.586;1169626.988
VS;Bovernier;2572242.422;1101028.995
BE;Courtelary;2572257.43;1226167.252
JU;Fontenais;2572803.447;1249792.867
FR;Gruyères;2572867.051;1158797.53
FR;Morlon;2573070.949;1163919.709
VS;Val de Bagnes;2573289.66;1104223.226
FR;Matran;2573315.4;1182473.99
FR;Echarlens;2573360.227;1167911.372
NE;Lignières;2573447.462;1214396.407
FR;Greng;2573586.337;1196020.281
BE;Ins;2573601.94;1207901.048
BE;Erlach;2573687.092;1209636.892
BE;Tschugg;2573689.128;1209062.347
VS;Martigny;2573762.057;1106150.689
BE;Mont-Tramelan;2573887.043;1228108.851
FR;Belfaux;2573935.904;1186012.686
FR;Corminboeuf;2574033.898;1183720.799
BE;Laupen;2574084.507;1196030.343
JU;Coeuve;2574104.556;1255606.109
JU;Damphreux-Lugnez;2574426.716;1258264.641
FR;La Sonnaz;2574489.663;1187265.204
FR;Grandvillard;2574592.049;1152499.35
BE;La Neuveville;2574607.205;1213931.757
FR;Courgevaux;2574622.513;1194704.182
FR;Mont-Vully;2574767.955;1202064.534
FR;Murten;2574769.688;1196192.847
FR;Meyriez;2574793.156;1196970.161
FR;Hauterive (FR);2574913.264;1180107.947
BE;Cortébert;2574961.946;1226577.738
FR;Pont-la-Ville;2575099.148;1172283.858
VS;Fully;2575169.725;1111560.708
FR;Botterens;2575188.247;1162962.608
VD;Ormont-Dessus;2575282.469;1134116.326
FR;Châtel-sur-Montsalvens;2575363.645;1162157.701
FR;Corbières;2575628.473;1167286.322
BE;Vinelz;2575758.239;1209088.658
BE;Plateau de Diesse;2575767.443;1216247.663
FR;Villars-sur-Glâne;2575900.471;1182824.723
FR;Broc;2575975.181;1160959.44
JU;Les Genevez (JU);2575975.827;1233824.067
JU;Saint-Brais;2576055.515;1239485.907
FR;Courtepin;2576084.174;1190016.407
FR;Givisiez;2576103.266;1184744.509
BE;Münchenwiler;2576140.943;1195457.281
FR;Treyvaux;2576252.001;1173781.729
FR;Hauteville;2576307.767;1168713.001
JU;Courgenay;2576392.638;1249490.188
VD;Gryon;2576398.397;1126123.468
JU;Alle;2576436.612;1253031.124
BE;Ligerz;2576617.894;1214747.662
JU;Lajoux (JU);2576726.118;1236426.252
FR;Muntelier;2576967.491;1199037.749
JU;Basse-Vendline;2577185.995;1260157.998
FR;Cressier (FR);2577239.435;1193966.16
FR;Crésuz;2577284.108;1163461.772
FR;Bois-d'Amont;2577318.669;1176776.627
BE;Müntschemier;2577646.517;1204990.007
JU;Vendlincourt;2577684.852;1255794.079
FR;Marly;2577754.279;1180666.771
VS;Saxon;2577788.574;1108927.97
BE;Corgémont;2577798.208;1227005.405
VD;Château-d'Oex;2577853.859;1147103.19
BE;Brüttelen;2577998.766;1207852.271
JU;Clos du Doubs;2578049.096;1245839.311
BE;Tramelan;2578153.712;1231817.237
FR;Granges-Paccot;2578232.063;1185700.756
FR;Ferpicloz;2578878.438;1177480.697
VS;Orsières;2578897.686;1097514.995
BE;Lüscherz;2579064.652;1210449.4
JU;Cornol;2579077.836;1250543.78
FR;Fribourg;2579108.568;1183709.652
FR;La Roche;2579326.897;1171247.351
VS;Sembrancher;2579345.587;1102106.931
JU;Saulcy;2579359.104;1239267.529
VS;Saillon;2579745.003;1113124.612
FR;Gurmels;2579798.259;1193091.232
FR;Villarsel-sur-Marly;2579817.904;1179037.379
FR;Ried bei Kerzers;2579911.221;1201354.291
BE;Finsterhennen;2580099.863;1207993.946
BE;Treiten;2580111.161;1205531.064
VD;Rougemont;2580115.427;1147183.777
BE;Hagneck;2580179.063;1211978.985
FR;Pierrafortscha;2580310.447;1180678.331
FR;Le Mouret;2580377.636;1177666.912
BE;Sonceboz-Sombeval;2580518.64;1226391.59
BE;Tavannes;2580591.73;1231810.789
FR;Düdingen;2580977.549;1188180.901
BE;Rebévelier;2580996.06;1237645.642
FR;Tentlingen;2581280.041;1178014.564
BE;Petit-Val;2581292.735;1234101.183
BE;Täuffelen;2581304.053;1212221.58
FR;Kerzers;2581580.965;1201278.386
FR;Val-de-Charmey;2581762.133;1163592.542
FR;Ulmiz;2581777.861;1197669.637
BE;Siselen;2581822;1208651
FR;Kleinbösingen;2582096.41;1193654.421
VS;Leytron;2582127.987;1115080.994
BE;Saicourt;2582159.233;1233104.502
