NAME;E;N;Z
Crans VD;2505447;1135071;418
Attalens;2554874;1150746;766
Villeneuve VD;2561078;1137882;375
Leysin;2567082;1132472;1291
Vouvry;2557777;1132056;393
Vionnaz;2558790;1128946;390
Château-d'Oex;2576149;1146982;955
Gstaad;2588739;1146847;1110
Adelboden;2609293;1149181;1357
Satigny;2491633;1119075;422
Bernex;2494665;1114955;437
Bex;2566484;1122606;415
Troistorrents;2560179;1120451;767
St-Maurice;2566833;1116672;422
Visp;2634038;1127019;647
Viège;2634038;1127019;647
Berg TG;2730048;1271217;551
Thal;2760294;1259516;424
Rheineck;2761621;1259715;400
St. Margrethen SG;2765932;1257904;401
Berneck;2764118;1255012;414
Staad SG;2758663;1260988;422
Rorschacherberg;2754543;1259712;457
Goldach;2753004;1260497;432
Steinach;2750489;1263159;400
Bischofszell;2735988;1261894;509
Niederuzwil;2728460;1256192;517
Oberuzwil;2727425;1254755;558
Wattwil;2724812;1239859;616
Widnau;2765936;1253074;405
Appenzell;2748878;1243994;782
Rüthi (Rheintal);2758887;1240073;424
Gams;2752625;1230301;462
Altstätten SG;2758736;1249702;464
Lüchingen;2759849;1250541;429
Marbach SG;2760792;1251250;429
Rebstein;2761963;1252115;426
Balgach;2763639;1252672;405
Heerbrugg;2765157;1253638;404
Triesen;2758461;1219366;476
Vaduz;2757579;1223827;488
Flums;2744476;1217500;450
Grabs;2752188;1227263;465
Wangs;2751714;1210998;494
Mels;2750682;1212333;496
Sargans;2752261;1212824;481
Rivera;2714717;1108635;510
Caslano;2711501;1092509;282
Agno;2713332;1095161;276
Savosa;2716376;1097577;408
Massagno;2716520;1096796;370
Sorengo;2715929;1095724;358
Montagnola;2714423;1093535;429
Taverne;2715366;1102092;337
