NAME;E;N;Z
Hausstock;2724024;1192749;3158
Mittaghorn;2663723;1140731;3158
Piz di Pian;2740857;1146507;3158
Piz Mitgel;2769113;1164935;3158
Rappehorn;2663723;1140731;3158
Grand Tavé;2590378;1093534;3159
Piz da la Margna;2776255;1139305;3159
Couronne de Bréonna;2610211;1104469;3160
Le Mérignier;2585187;1091133;3160
Piz Gügliet;2778235;1151901;3160
Ankenbälli;2649527;1161702;3161
Drillinge;2627122;1134883;3161
La Cathédrale;2561199;1113243;3161
Nördlicher Chalausspitz;2810018;1194278;3161
Piz Saluver;2780789;1155959;3161
Schinstock;2679332;1169201;3161
Cima Rossa;2726664;1144931;3162
Furggwanghorn;2622907;1115889;3162
Gross Diamantstock;2661667;1160442;3162
Kleinhockenhorn;2623227;1141639;3162
Mompiccio;2827621;1177409;3162
Muntpitschen;2827621;1177409;3162
Steinlouwihorn;2662501;1163279;3162
Gwächta;2649990;1161690;3163
Sattelspitz;2628296;1099467;3163
Scälin;2773132;1131993;3163
Steitalhorn;2624826;1116977;3163
Mazzaspitz;2764013;1148213;3164
Piz Val Müra;2788541;1167034;3164
Tälihorn;2763003;1149661;3164
Piz Lagrev;2775512;1146373;3165
Piz Quattervals;2803392;1167433;3165
Tavé des Chasseurs;2590559;1093102;3165
La Forteresse;2561401;1113412;3166
Piz Albris;2793926;1148965;3166
Rotflue;2801440;1193324;3166
Piz Güz;2779690;1136553;3167
Piz Plavna Dadaint;2812922;1176837;3167
Sciora Dafora;2768612;1130555;3167
Vorder Gärstenhorn;2670858;1160502;3167
Wyssegga;2623913;1116437;3167
Gross Furkahorn;2674462;1161044;3168
Piz Tavrü;2818572;1173751;3168
Piz Vial;2717192;1165666;3168
La Pala;2805802;1144642;3169
Piz Badilet;2765234;1129254;3170
Punta Sant'Anna;2765234;1129254;3170
Pointe Allobrogia;2570959;1084267;3172
Cima di Camadra;2712414;1163133;3173
Hinter Gärstenhorn;2670743;1161583;3173
Corn da Tinizong;2771015;1164744;3174
Piz Pisoc;2817069;1180961;3174
Pizzo di Zocca;2770381;1128885;3174
Tinzenhorn;2771015;1164744;3174
Hoch Horenfellistock;2679082;1169374;3175
Ober Rappehorn;2663918;1140239;3175
Piz Futschöl;2811189;1193838;3175
Piz Pischa;2785960;1165479;3175
Piz Sarsura;2795474;1174290;3176
Piz da las Sterlas;2792887;1154203;3177
Tita Naire;2571019;1090331;3177
Breithorn;2630245;1110304;3178
Grisighorn;2638537;1137463;3178
Le Pucé;2594051;1132931;3178
Piz della Palù;2752337;1148981;3178
Piz Tasna;2814513;1193619;3179
Cima la Casina;2818360;1161638;3180
Cime de l'Est;2562109;1113603;3180
Ferdenrothorn;2620655;1139711;3180
